x,period,role,exits,eligible,exit_1yr_pct
2018.0,2018-H1,AIE,2,9,22.2
2018.0,2018-H1,DS,62,195,31.8
2018.0,2018-H1,MLE,5,28,17.9
2018.0,2018-H1,DE,14,174,8.0
2018.0,2018-H1,SWE,346,1338,25.9
2018.5,2018-H2,AIE,0,10,0.0
2018.5,2018-H2,DS,36,132,27.3
2018.5,2018-H2,MLE,2,20,10.0
2018.5,2018-H2,DE,16,145,11.0
2018.5,2018-H2,SWE,141,845,16.7
2019.0,2019-H1,AIE,1,9,11.1
2019.0,2019-H1,DS,110,295,37.3
2019.0,2019-H1,MLE,17,52,32.7
2019.0,2019-H1,DE,11,194,5.7
2019.0,2019-H1,SWE,488,1731,28.2
2019.5,2019-H2,AIE,2,8,25.0
2019.5,2019-H2,DS,53,199,26.6
2019.5,2019-H2,MLE,11,27,40.7
2019.5,2019-H2,DE,8,162,4.9
2019.5,2019-H2,SWE,181,1027,17.6
2020.0,2020-H1,AIE,3,27,11.1
2020.0,2020-H1,DS,122,282,43.3
2020.0,2020-H1,MLE,30,66,45.5
2020.0,2020-H1,DE,23,186,12.4
2020.0,2020-H1,SWE,380,1571,24.2
2020.5,2020-H2,AIE,3,12,25.0
2020.5,2020-H2,DS,91,212,42.9
2020.5,2020-H2,MLE,14,34,41.2
2020.5,2020-H2,DE,13,142,9.2
2020.5,2020-H2,SWE,247,1102,22.4
2021.0,2021-H1,AIE,7,31,22.6
2021.0,2021-H1,DS,211,464,45.5
2021.0,2021-H1,MLE,15,57,26.3
2021.0,2021-H1,DE,44,204,21.6
2021.0,2021-H1,SWE,576,2000,28.8
2021.5,2021-H2,AIE,4,20,20.0
2021.5,2021-H2,DS,114,269,42.4
2021.5,2021-H2,MLE,21,54,38.9
2021.5,2021-H2,DE,28,201,13.9
2021.5,2021-H2,SWE,275,1450,19.0
2022.0,2022-H1,AIE,9,30,30.0
2022.0,2022-H1,DS,247,526,47.0
2022.0,2022-H1,MLE,35,77,45.5
2022.0,2022-H1,DE,47,240,19.6
2022.0,2022-H1,SWE,726,2637,27.5
2022.5,2022-H2,AIE,8,38,21.1
2022.5,2022-H2,DS,110,329,33.4
2022.5,2022-H2,MLE,20,52,38.5
2022.5,2022-H2,DE,24,171,14.0
2022.5,2022-H2,SWE,247,1478,16.7
2023.0,2023-H1,AIE,15,51,29.4
2023.0,2023-H1,DS,259,516,50.2
2023.0,2023-H1,MLE,50,89,56.2
2023.0,2023-H1,DE,66,214,30.8
2023.0,2023-H1,SWE,564,1932,29.2
2023.5,2023-H2,AIE,14,46,30.4
2023.5,2023-H2,DS,111,297,37.4
2023.5,2023-H2,MLE,43,75,57.3
2023.5,2023-H2,DE,37,166,22.3
2023.5,2023-H2,SWE,227,1060,21.4
2024.0,2024-H1,AIE,52,115,45.2
2024.0,2024-H1,DS,305,585,52.1
2024.0,2024-H1,MLE,45,99,45.5
2024.0,2024-H1,DE,70,262,26.7
2024.0,2024-H1,SWE,475,1743,27.3
2024.5,2024-H2,AIE,39,102,38.2
2024.5,2024-H2,DS,120,358,33.5
2024.5,2024-H2,MLE,40,87,46.0
2024.5,2024-H2,DE,37,179,20.7
2024.5,2024-H2,SWE,268,1229,21.8
2025.0,2025-H1,AIE,54,180,30.0
2025.0,2025-H1,DS,185,467,39.6
2025.0,2025-H1,MLE,36,101,35.6
2025.0,2025-H1,DE,42,236,17.8
2025.0,2025-H1,SWE,275,1447,19.0
