year,role,arrivals,departures,net
2015,AIE,4,0,4
2016,AIE,4,2,2
2017,AIE,15,4,11
2018,AIE,19,7,12
2019,AIE,17,3,14
2020,AIE,39,11,28
2021,AIE,51,17,34
2022,AIE,68,33,35
2023,AIE,97,41,56
2024,AIE,217,88,129
2025,AIE,274,126,148
2015,DS,142,26,116
2016,DS,172,76,96
2017,DS,230,90,140
2018,DS,327,150,177
2019,DS,494,236,258
2020,DS,494,296,198
2021,DS,733,444,289
2022,DS,855,565,290
2023,DS,813,609,204
2024,DS,943,630,313
2025,DS,639,488,151
2015,MLE,12,3,9
2016,MLE,28,4,24
2017,MLE,30,10,20
2018,MLE,48,19,29
2019,MLE,79,42,37
2020,MLE,100,75,25
2021,MLE,111,61,50
2022,MLE,129,106,23
2023,MLE,164,132,32
2024,MLE,186,138,48
2025,MLE,149,100,49
2015,DE,166,23,143
2016,DE,186,34,152
2017,DE,242,56,186
2018,DE,319,64,255
2019,DE,356,95,261
2020,DE,328,87,241
2021,DE,405,168,237
2022,DE,411,216,195
2023,DE,380,235,145
2024,DE,441,253,188
2025,DE,331,183,148
2015,SWE,1580,887,693
2016,SWE,1746,979,767
2017,SWE,1941,1085,856
2018,SWE,2378,1278,1100
2019,SWE,2960,1496,1464
2020,SWE,2877,1463,1414
2021,SWE,3676,1916,1760
2022,SWE,4276,2305,1971
2023,SWE,3170,2110,1060
2024,SWE,3039,2080,959
2025,SWE,2138,1725,413
