direction,role,n_moves
in,Software Engineer,73
in,ML Engineer,46
in,Data Scientist,42
in,Research Assistant,15
in,Data Analyst,12
in,Data Engineer,10
in,Researcher,5
in,Founder,3
in,AI Research Engineer,3
in,Teaching Assistant,3
in,System Software Engineer,2
in,Product Manager,2
in,Business Analyst,2
in,IoT Engineer,2
in,Data Science Instructor,2
in,IT Support Specialist,2
in,System Engineer,2
in,Project Manager,2
in,Lecturer,2
in,Machine Learning Researcher,2
in,Chief Technology Officer,2
in,Database Developer,1
in,Mobile Architect,1
in,Product Designer,1
in,08c4f3538b0fa2de,1
in,Mechanical Engineer,1
in,Data Management,1
in,Computer Vision Researcher,1
in,16fe7c2d57b51b09,1
in,Web Developer,1
in,Assistant Professor,1
in,Deep Learning Engineer,1
in,Technical Specialist,1
in,BackEnd Developer,1
in,AI Consultant,1
in,Blockchain Developer,1
in,2ebb0a5b0127f8e2,1
in,IT Specialist,1
in,Research Analyst,1
in,3b124c6742a4b29f,1
in,3c8d8c44717a75bf,1
in,4677fdafadec9e39,1
in,Operations Analyst,1
in,5c6e3c496d2fac72,1
in,AI Researcher,1
in,5d01ea0f40e83c6e,1
in,Operations Research Analyst,1
in,Automation Software Engineer,1
in,Podcast Host,1
in,Sales Intern,1
in,Research Data Analyst,1
in,Data Science Intern,1
in,Strategy Consultant,1
in,Frontend Developer,1
in,Computational Engineer,1
in,Instructor,1
in,Network Security Analyst,1
in,7c1b8494e1b80b6f,1
in,AI Systems Architect,1
in,AI Engineering Intern,1
in,Instructional Assistant,1
in,Machine Learning Consultant,1
in,AI Software Developer,1
in,Security Engineer,1
in,Administrative Assistant,1
in,Mentor,1
in,Data Product Manager,1
in,AI Product Development Intern,1
in,Research Engineer,1
in,bf26159e0c427cf4,1
in,Industrial Engineer,1
in,Business Intelligence Manager,1
in,Adjunct Faculty,1
in,d2c294b6d003a5d5,1
in,Consultant,1
in,Software Engineer Intern,1
in,AI/ML Researcher,1
in,null,1
in,Information Technology Specialist,1
in,Social Media Coordinator,1
in,ML Cloud Engineer,1
in,Quantitative Developer,1
in,Cloud Consultant,1
in,Content Writer,1
in,Technician,1
in,0eb107a366269268,1
in,Career Coach,1
in,Cybersecurity Intern,1
in,f5d0f69c155a57d2,1
in,04e39da333197262,1
in,Applied Scientist,1
in,Software Engineer Tutor,1
in,Digital Artist,1
in,3be5f15fa5eced07,1
in,6dcccab38797bb49,1
in,Research Fellow,1
in,Applied AI Consultant,1
in,Front-End Developer,1
in,edf4e243442db524,1
in,Full Stack Engineer,1
in,President,1
in,fc5ee0a34c45461b,1
in,Software Developer,1
in,Academic Director,1
in,Website Developer,1
in,Open Source Developer,1
in,Machine Learning Advisor,1
in,Treasurer,1
in,60c23e8ebb25f6e0,1
in,7c38f33e2a5bc88e,1
in,Data Scientist Intern,1
in,Frontend Web Developer,1
in,Full Stack Developer,1
in,Mechanical Product Designer,1
in,Growth Engineer,1
in,Blockchain Engineer,1
in,Technical Editor,1
in,6bf149a2617e90f7,1
in,Graduate Assistant,1
in,AI Research Scientist,1
out,Software Engineer,26
out,Data Scientist,15
out,ML Engineer,13
out,Research Assistant,7
out,Teaching Assistant,6
out,Data Engineer,6
out,Founder,3
out,Data Analyst,3
out,Product Manager,3
out,Software Developer,3
out,Data Science Intern,2
out,AI Automation Engineer,2
out,AI Analyst,1
out,Data Science Instructor,1
out,AI Researcher,1
out,System Software Engineer,1
out,Conversational Designer,1
out,Research Associate,1
out,Mentor,1
out,Deep Learning Researcher,1
out,Director,1
out,b7e47a22afe7efc9,1
out,AI Project Manager,1
out,Project Manager,1
out,Operations Supervisor,1
out,Research Engineer,1
out,d5f48b3d88dd770c,1
out,Social Media Coordinator,1
out,Researcher,1
out,Partnerships Manager,1
out,0aa432172b8af954,1
out,AI Systems Engineer,1
out,Data Management,1
out,AI Research Engineer,1
out,13cf1b2fe661fc6b,1
out,1d15971436a5e409,1
out,Chief Architect,1
out,Data Analytics Engineer,1
out,Research Analyst,1
out,Finance Manager,1
out,47b62fa5e0f047aa,1
out,Robotics Engineer,1
out,Software QA Engineer,1
out,Machine Learning Consultant,1
out,Chief Technology Officer,1
out,Machine Learning Developer,1
out,AI/ML Architect,1
out,60c23e8ebb25f6e0,1
out,Prompt Engineer,1
out,Robotics Researcher,1
out,fd727e4349cf9c3d,1
out,4e2d7471b197cff5,1
out,AI Solutions Specialist,1
out,IT Support Specialist,1
out,Academic Director,1
