year,positions,genai_strict,genai_strict_pct,genai_loose_pct,classical_ml_pct
2012,35868,8,0.022,0.084,0.457
2013,38841,4,0.01,0.082,0.44
2014,42583,13,0.031,0.101,0.601
2015,45738,19,0.042,0.127,0.789
2016,47026,33,0.07,0.174,1.053
2017,47957,52,0.108,0.211,1.522
2018,51735,78,0.151,0.311,1.834
2019,53874,105,0.195,0.362,2.322
2020,47641,137,0.288,0.487,2.597
2021,56833,308,0.542,0.755,2.513
2022,57011,591,1.037,1.335,2.664
2023,46142,998,2.163,2.492,3.051
2024,40432,1357,3.356,3.9,3.171
2025,20536,878,4.275,4.753,2.727
