rank,ngram,early_pct_2021_22,late_pct_2024_25,pp_change,multiple,late_n,early_n
1,ensuring,12.453,16.7777,4.3246,1.35,10229,14177
2,ai,1.8736,6.1721,4.2985,3.29,3763,2133
3,across,13.1382,17.3714,4.2333,1.32,10591,14957
4,enhance,4.8971,7.9599,3.0629,1.63,4853,5575
5,workflows,4.0819,6.9413,2.8594,1.7,4232,4647
6,support,14.3187,17.0614,2.7427,1.19,10402,16301
7,compliance,6.9727,9.3836,2.4109,1.35,5721,7938
8,insights,4.9603,7.3547,2.3944,1.48,4484,5647
9,scalable,3.2817,5.6013,2.3196,1.71,3415,3736
10,improving,6.2682,8.5422,2.274,1.36,5208,7136
11,to support,4.0274,6.1245,2.0971,1.52,3734,4585
12,ensure,12.5593,14.5716,2.0123,1.16,8884,14298
13,collaborate,2.4173,4.3515,1.9341,1.8,2653,2752
14,supporting,3.5672,5.4947,1.9275,1.54,3350,4061
15,strategic,5.2089,7.089,1.8801,1.36,4322,5930
16,real-time,3.1253,4.9977,1.8724,1.6,3047,3558
17,to enhance,3.6699,5.493,1.8231,1.5,3349,4178
18,cross-functional,5.9476,7.7696,1.822,1.31,4737,6771
19,enabling,3.3686,5.124,1.7554,1.52,3124,3835
20,teams to,6.2691,8.0124,1.7433,1.28,4885,7137
21,actionable,2.1108,3.8151,1.7043,1.81,2326,2403
22,accuracy,3.7999,5.4963,1.6964,1.45,3351,4326
23,secure,2.875,4.5122,1.6372,1.57,2751,3273
24,enhancing,5.1544,6.7904,1.636,1.32,4140,5868
25,systems,9.4392,11.0369,1.5977,1.17,6729,10746
26,operational,5.8282,7.3973,1.5692,1.27,4510,6635
27,cybersecurity,1.5152,3.0426,1.5273,2.01,1855,1725
28,streamline,2.3602,3.8742,1.5139,1.64,2362,2687
29,align,1.8481,3.3395,1.4913,1.81,2036,2104
30,dashboards,4.1206,5.5947,1.4742,1.36,3411,4691
31,collaborate with,1.8367,3.2771,1.4404,1.78,1998,2091
32,security,7.6271,9.0457,1.4186,1.19,5515,8683
33,hands-on,1.1893,2.6014,1.412,2.19,1586,1354
34,alignment,2.6264,4.0087,1.3823,1.53,2444,2990
35,performance,10.4511,11.8308,1.3797,1.13,7213,11898
36,optimize,2.983,4.3547,1.3717,1.46,2655,3396
37,reducing,5.4074,6.7757,1.3683,1.25,4131,6156
38,pipelines,4.0854,5.4488,1.3633,1.33,3322,4651
39,i,11.7977,13.161,1.3633,1.12,8024,13431
40,deliver,3.5022,4.8517,1.3496,1.39,2958,3987
41,seamless,3.8509,5.188,1.3371,1.35,3163,4384
42,engagement,3.3985,4.6943,1.2958,1.38,2862,3869
43,drive,3.6471,4.9091,1.262,1.35,2993,4152
44,models,3.2351,4.4876,1.2525,1.39,2736,3683
45,data-driven,2.3761,3.6035,1.2275,1.52,2197,2705
46,compliance with,2.6967,3.9152,1.2185,1.45,2387,3070
47,building,3.6524,4.8698,1.2174,1.33,2969,4158
48,teams,13.7038,14.9062,1.2023,1.09,9088,15601
49,initiatives,3.8131,5.0026,1.1895,1.31,3050,4341
50,cross-functional teams,3.2984,4.486,1.1876,1.36,2735,3755
51,improve,6.573,7.7549,1.1819,1.18,4728,7483
52,data,26.8376,28.018,1.1804,1.04,17082,30553
53,integrating,2.1125,3.2378,1.1252,1.53,1974,2405
54,with cross-functional,2.6484,3.7659,1.1175,1.42,2296,3015
55,operations,7.483,8.5766,1.0936,1.15,5229,8519
56,maintain,5.3442,6.428,1.0838,1.2,3919,6084
57,trends,2.8065,3.8791,1.0726,1.38,2365,3195
58,collaborating,2.1222,3.1886,1.0664,1.5,1944,2416
59,with cross-functional teams,2.2882,3.3477,1.0594,1.46,2041,2605
60,into,9.6887,10.7466,1.0579,1.11,6552,11030
61,real-world,0.3619,1.404,1.0421,3.88,856,412
62,to streamline,1.7287,2.7473,1.0187,1.59,1675,1968
63,power,3.5022,4.5204,1.0182,1.29,2756,3987
64,interactive,1.9439,2.9589,1.015,1.52,1804,2213
65,advanced,2.9171,3.9152,0.998,1.34,2387,3321
66,to ensure,10.4151,11.4076,0.9925,1.1,6955,11857
67,leveraging,2.6106,3.5986,0.988,1.38,2194,2972
68,solutions,8.7453,9.7002,0.9549,1.11,5914,9956
69,and compliance,1.4616,2.4144,0.9527,1.65,1472,1664
70,oversee,1.3483,2.2848,0.9365,1.69,1393,1535
71,identify,5.7034,6.633,0.9296,1.16,4044,6493
72,driving,2.7494,3.6626,0.9132,1.33,2233,3130
73,cross-functional teams to,1.8033,2.7129,0.9096,1.5,1654,2053
74,manage,6.1655,7.0627,0.8973,1.15,4306,7019
75,analytics,4.4842,5.3635,0.8793,1.2,3270,5105
76,clear,1.5398,2.416,0.8762,1.57,1473,1753
77,datasets,1.3694,2.2356,0.8662,1.63,1363,1559
78,alignment with,1.4608,2.3258,0.865,1.59,1418,1663
79,strategy,4.1337,4.9977,0.864,1.21,3047,4706
80,strategies,4.6186,5.4799,0.8613,1.19,3341,5258
81,contributing,2.2768,3.1377,0.8609,1.38,1913,2592
82,to align,1.1902,2.0437,0.8535,1.72,1246,1355
83,efficiency,6.4281,7.2809,0.8528,1.13,4439,7318
84,accuracy and,1.5934,2.4455,0.8521,1.53,1491,1814
85,workflows and,1.1349,1.9797,0.8448,1.74,1207,1292
86,tools,7.4505,8.283,0.8325,1.11,5050,8482
87,ai-driven,0.26,1.0907,0.8307,4.2,665,296
88,i lead,0.3839,1.2138,0.8299,3.16,740,437
89,contribute,0.8274,1.6435,0.816,1.99,1002,942
