family,year,positions,mentions,share_pct
LLMs,2018,51735,28,0.0541
LLMs,2019,53874,43,0.0798
LLMs,2020,47641,48,0.1008
LLMs,2021,56833,119,0.2094
LLMs,2022,57011,223,0.3912
LLMs,2023,46142,409,0.8864
LLMs,2024,40432,578,1.4296
LLMs,2025,20536,346,1.6848
Generative AI,2018,51735,30,0.058
Generative AI,2019,53874,37,0.0687
Generative AI,2020,47641,47,0.0987
Generative AI,2021,56833,104,0.183
Generative AI,2022,57011,210,0.3683
Generative AI,2023,46142,324,0.7022
Generative AI,2024,40432,338,0.836
Generative AI,2025,20536,181,0.8814
RAG,2018,51735,11,0.0213
RAG,2019,53874,9,0.0167
RAG,2020,47641,20,0.042
RAG,2021,56833,42,0.0739
RAG,2022,57011,56,0.0982
RAG,2023,46142,125,0.2709
RAG,2024,40432,238,0.5886
RAG,2025,20536,150,0.7304
AI agents,2018,51735,9,0.0174
AI agents,2019,53874,10,0.0186
AI agents,2020,47641,10,0.021
AI agents,2021,56833,30,0.0528
AI agents,2022,57011,54,0.0947
AI agents,2023,46142,51,0.1105
AI agents,2024,40432,194,0.4798
AI agents,2025,20536,266,1.2953
prompt engineering,2018,51735,4,0.0077
prompt engineering,2019,53874,5,0.0093
prompt engineering,2020,47641,11,0.0231
prompt engineering,2021,56833,17,0.0299
prompt engineering,2022,57011,32,0.0561
prompt engineering,2023,46142,76,0.1647
prompt engineering,2024,40432,83,0.2053
prompt engineering,2025,20536,57,0.2776
LangChain,2018,51735,3,0.0058
LangChain,2019,53874,5,0.0093
LangChain,2020,47641,15,0.0315
LangChain,2021,56833,21,0.037
LangChain,2022,57011,35,0.0614
LangChain,2023,46142,82,0.1777
LangChain,2024,40432,94,0.2325
LangChain,2025,20536,54,0.263
vector databases,2018,51735,1,0.0019
vector databases,2019,53874,3,0.0056
vector databases,2020,47641,2,0.0042
vector databases,2021,56833,9,0.0158
vector databases,2022,57011,9,0.0158
vector databases,2023,46142,27,0.0585
vector databases,2024,40432,35,0.0866
vector databases,2025,20536,18,0.0877
MCP,2018,51735,5,0.0097
MCP,2019,53874,1,0.0019
MCP,2020,47641,3,0.0063
MCP,2021,56833,5,0.0088
MCP,2022,57011,6,0.0105
MCP,2023,46142,10,0.0217
MCP,2024,40432,22,0.0544
MCP,2025,20536,64,0.3116
AI tools,2018,51735,21,0.0406
AI tools,2019,53874,12,0.0223
AI tools,2020,47641,19,0.0399
AI tools,2021,56833,40,0.0704
AI tools,2022,57011,64,0.1123
AI tools,2023,46142,89,0.1929
AI tools,2024,40432,138,0.3413
AI tools,2025,20536,114,0.5551
fine-tuning,2018,51735,28,0.0541
fine-tuning,2019,53874,26,0.0483
fine-tuning,2020,47641,27,0.0567
fine-tuning,2021,56833,36,0.0633
fine-tuning,2022,57011,48,0.0842
fine-tuning,2023,46142,58,0.1257
fine-tuning,2024,40432,73,0.1806
fine-tuning,2025,20536,39,0.1899
embeddings,2018,51735,7,0.0135
embeddings,2019,53874,7,0.013
embeddings,2020,47641,12,0.0252
embeddings,2021,56833,19,0.0334
embeddings,2022,57011,28,0.0491
embeddings,2023,46142,30,0.065
embeddings,2024,40432,47,0.1162
embeddings,2025,20536,45,0.2191
machine learning,2018,51735,619,1.1965
machine learning,2019,53874,774,1.4367
machine learning,2020,47641,713,1.4966
machine learning,2021,56833,886,1.559
machine learning,2022,57011,968,1.6979
machine learning,2023,46142,905,1.9613
machine learning,2024,40432,793,1.9613
machine learning,2025,20536,305,1.4852
deep learning,2018,51735,106,0.2049
deep learning,2019,53874,136,0.2524
deep learning,2020,47641,121,0.254
deep learning,2021,56833,126,0.2217
deep learning,2022,57011,112,0.1965
deep learning,2023,46142,97,0.2102
deep learning,2024,40432,84,0.2078
deep learning,2025,20536,44,0.2143
NLP,2018,51735,119,0.23
NLP,2019,53874,180,0.3341
NLP,2020,47641,201,0.4219
NLP,2021,56833,231,0.4065
NLP,2022,57011,222,0.3894
NLP,2023,46142,241,0.5223
NLP,2024,40432,214,0.5293
NLP,2025,20536,108,0.5259
MLOps,2018,51735,6,0.0116
MLOps,2019,53874,11,0.0204
MLOps,2020,47641,16,0.0336
MLOps,2021,56833,42,0.0739
MLOps,2022,57011,37,0.0649
MLOps,2023,46142,34,0.0737
MLOps,2024,40432,35,0.0866
MLOps,2025,20536,15,0.073
