term,hits,pre_2020_hits,pre_2020_pct,corpus_baseline_pct
LLM/large language model,963,60,6.2,57.5
generative ai,727,75,10.3,57.5
FINE-TUN (ambiguous),544,165,30.3,57.5
openai,415,23,5.5,57.5
agentic/ai agents,341,17,5.0,57.5
RAG bare (ambiguous),318,15,4.7,57.5
copilot bare (ambiguous),279,30,10.8,57.5
chatgpt/gpt-N,276,20,7.2,57.5
langchain/llamaindex,168,7,4.2,57.5
prompt engineering,133,8,6.0,57.5
retrieval-augmented,127,3,2.4,57.5
EMBEDDINGS (ambiguous),104,12,11.5,57.5
diffusion/midjourney/HF,80,6,7.5,57.5
PROMPTING (ambiguous),55,10,18.2,57.5
github copilot,51,4,7.8,57.5
vector database,48,4,8.3,57.5
anthropic,18,1,5.6,57.5
