author_name,raw_paper_count,distinct_clusters,largest_cluster
Yang Liu,270,157,23
Hao Wang,207,113,14
Wei Wang,176,115,12
Hao Chen,148,78,16
Wei Zhang,144,111,8
Hao Li,135,81,9
Xiang Li,134,95,11
Yu Wang,129,77,15
Yang Li,129,89,7
Wei Liu,128,81,13
Yu Zhang,126,84,22
Yang Yang,122,66,25
Lei Zhang,120,92,6
Xin Wang,119,74,9
Wei Chen,118,76,8
Yi Zhang,115,73,7
Yang Zhang,109,57,16
Jian Yang,107,54,19
Hao Zhang,107,73,14
Xin Li,107,64,8
Jie Zhang,106,56,11
Qi Zhang,105,50,31
Chi Zhang,104,62,14
Shuai Wang,103,57,13
Chang Liu,103,77,5
Yi Wang,101,61,12
Chen Chen,101,63,6
Rui Wang,100,72,7
Bo Li,97,60,11
Min Zhang,94,31,16
Fan Zhang,93,53,22
Yan Wang,92,52,10
Yu Liu,91,56,14
Yi Yang,91,75,4
Fan Yang,90,56,15
Haoyu Wang,90,53,9
Yifan Zhang,90,60,6
Yong Liu,89,46,17
Kai Chen,87,33,33
Bo Zheng,87,21,15
