field,year,papers,team_size_trimmed_mean,papers_per_researcher,ci_lo,ci_hi
AI,2015,5622,3.215,1.0273,1.01,1.051
AI,2016,9058,3.396,1.0326,1.0165,1.0518
AI,2017,13514,3.709,1.0409,1.0279,1.0552
AI,2018,21872,3.826,1.0541,1.0413,1.0674
AI,2019,32043,4.018,1.0559,1.0459,1.0658
AI,2020,42913,4.087,1.067,1.0581,1.0759
AI,2021,47665,4.257,1.0736,1.064,1.0831
AI,2022,52657,4.379,1.0764,1.0681,1.0846
AI,2023,66213,4.556,1.0975,1.0901,1.105
AI,2024,85966,4.85,1.1177,1.1123,1.1232
AI,2025,106027,5.013,1.1389,1.1389,1.1389
ASTRO,2015,,4.549,1.1574,1.0945,1.2205
ASTRO,2016,,5.162,1.0999,1.0827,1.117
ASTRO,2017,,5.079,1.287,1.2202,1.3612
ASTRO,2018,,5.191,1.1484,1.1136,1.1798
ASTRO,2019,,5.09,1.1707,1.0583,1.2579
ASTRO,2020,,5.153,1.1259,1.0879,1.1503
ASTRO,2021,,5.251,1.1975,1.1534,1.2298
ASTRO,2022,,5.359,1.0783,1.0701,1.0873
ASTRO,2023,,5.208,1.1047,1.0878,1.1172
ASTRO,2024,,5.345,1.1619,1.1219,1.1791
ASTRO,2025,,5.294,1.3543,1.3543,1.3543
