domain,server_rendered_words,js_required,ai_crawlers_allowed,n_outbound_links_home,n_outbound_links_submit
1000.tools,904,False,True,1,0
acidtools.com,2498,False,True,54,2
affonso.io,1511,False,True,6,0
aiagentstore.ai,2982,False,True,9,8
aidir.wiki,741,False,False,10,9
aimarketing.directory,3143,False,True,6,6
aiparabellum.com,659,False,True,27,8
aitechviral.com,1278,False,True,29,2
aitools.fyi,600,False,True,26,1
aitools.inc,950,False,True,20,16
aitooltrek.com,1224,False,True,31,9
aiwith.me,3170,False,True,46,11
aixploria.com,2672,False,True,180,5
alternativeto.net,2166,False,True,37,0
auraplusplus.com,1866,False,True,50,7
betalist.com,1225,False,True,3,2
devhunt.org,10,True,True,0,0
earlyhunt.com,2343,False,True,88,6
f6s.com,66,True,True,0,0
fazier.com,2119,False,True,47,10
firsto.co,1706,False,True,30,10
foundrlist.com,2130,False,True,88,2
huntscreens.com,1945,False,False,7,12
indiehackers.com,1473,False,True,4,0
indiehunt.io,2443,False,True,80,6
launchdirectories.com,1200,False,False,42,8
launchigniter.com,1384,False,True,50,12
launchingnext.com,391,False,True,4,0
launchllama.co,1237,False,True,27,0
launchpanda.dev,1092,False,True,59,47
listingbott.com,1685,False,True,50,0
listmy.site,952,False,True,60,0
makerhunt.io,907,False,True,44,2
microlaunch.net,2019,False,True,154,13
openalternative.co,2545,False,True,26,13
outbid.lol,18,True,True,1,1
peerlist.io,619,False,True,8,3
peerpush.com,2720,False,True,38,32
peerpush.net,2748,False,True,115,32
pitchwall.co,807,False,True,7,3
postingdude.com,496,False,True,10,0
producthunt.com,3,True,True,0,0
saasgrow.app,709,False,True,40,28
saashub.com,4652,False,True,28,5
scrolllaunch.com,1092,False,True,70,20
sidehunt.io,946,False,True,45,2
sideprojectors.com,1990,False,True,0,0
softwareworld.co,3,True,True,0,0
startupa.ge,998,False,False,10,0
startupbase.io,1416,False,True,53,0
startups.fyi,2458,False,True,13,0
startupsubmit.app,3384,False,True,59,0
startuptrusted.com,1060,False,True,87,4
submitsaas.com,2271,False,True,59,1
theresanaiforthat.com,13665,False,True,116,0
tinylaunch.com,615,False,True,27,0
toolfolio.io,3372,False,True,19,7
trustmrr.com,3339,False,True,19,15
uneed.best,708,False,True,6,0
uno.directory,422,False,True,33,8
