domain,seed_list_count,seed_lists,forced
1000.tools,1,https://launchdirectories.com/,False
acidtools.com,1,https://launchdirectories.com/,False
affonso.io,1,https://www.scrolllaunch.com/directories,False
aiagentstore.ai,1,https://makerhunt.io/places-to-launch,False
aidir.wiki,1,https://makerhunt.io/places-to-launch,False
aimarketing.directory,1,https://makerhunt.io/places-to-launch,False
aiparabellum.com,1,https://makerhunt.io/places-to-launch,False
aitechviral.com,1,https://launchdirectories.com/,False
aitools.fyi,1,https://launchdirectories.com/,False
aitools.inc,1,https://launchdirectories.com/,False
aitooltrek.com,1,https://makerhunt.io/places-to-launch,False
aiwith.me,1,https://launchdirectories.com/,False
aixploria.com,1,https://makerhunt.io/places-to-launch,False
alternativeto.net,2,https://launchdirectories.com/;https://makerhunt.io/places-to-launch,True
auraplusplus.com,2,https://launchdirectories.com/;https://makerhunt.io/places-to-launch,True
betalist.com,2,https://launchdirectories.com/;https://makerhunt.io/places-to-launch,True
devhunt.org,2,https://launchdirectories.com/;https://makerhunt.io/places-to-launch,False
earlyhunt.com,2,https://launchdirectories.com/;https://makerhunt.io/places-to-launch,True
f6s.com,0,,True
fazier.com,2,https://launchdirectories.com/;https://makerhunt.io/places-to-launch,False
firsto.co,2,https://launchdirectories.com/;https://makerhunt.io/places-to-launch,False
foundrlist.com,2,https://launchdirectories.com/;https://makerhunt.io/places-to-launch,False
huntscreens.com,0,,True
indiehackers.com,2,https://launchdirectories.com/;https://makerhunt.io/places-to-launch,True
indiehunt.io,2,https://launchdirectories.com/;https://makerhunt.io/places-to-launch,True
launchdirectories.com,0,,True
launchigniter.com,0,,True
launchingnext.com,2,https://launchdirectories.com/;https://makerhunt.io/places-to-launch,False
launchllama.co,2,https://launchdirectories.com/;https://www.scrolllaunch.com/directories,True
launchpanda.dev,0,,True
listingbott.com,0,,True
listmy.site,0,,True
makerhunt.io,0,,True
microlaunch.net,2,https://launchdirectories.com/;https://makerhunt.io/places-to-launch,False
openalternative.co,2,https://launchdirectories.com/;https://makerhunt.io/places-to-launch,False
outbid.lol,0,,True
peerlist.io,2,https://launchdirectories.com/;https://makerhunt.io/places-to-launch,False
peerpush.com,1,https://launchdirectories.com/,True
peerpush.net,2,https://launchdirectories.com/;https://makerhunt.io/places-to-launch,False
pitchwall.co,2,https://launchdirectories.com/;https://makerhunt.io/places-to-launch,False
postingdude.com,0,,True
producthunt.com,3,https://launchdirectories.com/;https://launchigniter.com/submit-directories;https://makerhunt.io/places-to-launch,True
saasgrow.app,2,https://launchdirectories.com/;https://launchigniter.com/submit-directories,False
saashub.com,2,https://launchdirectories.com/;https://makerhunt.io/places-to-launch,True
scrolllaunch.com,0,,True
sidehunt.io,2,https://launchdirectories.com/;https://makerhunt.io/places-to-launch,True
sideprojectors.com,2,https://launchdirectories.com/;https://makerhunt.io/places-to-launch,False
softwareworld.co,2,https://launchdirectories.com/;https://makerhunt.io/places-to-launch,False
startupa.ge,0,,True
startupbase.io,2,https://launchdirectories.com/;https://makerhunt.io/places-to-launch,False
startups.fyi,2,https://launchdirectories.com/;https://makerhunt.io/places-to-launch,False
startupsubmit.app,0,,True
startuptrusted.com,2,https://launchdirectories.com/;https://launchigniter.com/submit-directories,False
submitsaas.com,0,,True
theresanaiforthat.com,2,https://launchdirectories.com/;https://makerhunt.io/places-to-launch,False
tinylaunch.com,2,https://launchdirectories.com/;https://makerhunt.io/places-to-launch,True
toolfolio.io,2,https://launchdirectories.com/;https://makerhunt.io/places-to-launch,False
trustmrr.com,2,https://launchdirectories.com/;https://makerhunt.io/places-to-launch,True
uneed.best,2,https://launchdirectories.com/;https://makerhunt.io/places-to-launch,True
uno.directory,2,https://launchdirectories.com/;https://makerhunt.io/places-to-launch,True
