domain,registrant_org,registrar,creation_date,resolved_ip,favicon_sha256,owner_entity_footer,ga_gtm_ids,stripe_pk_keys
1000.tools,,,2014-01-16,216.128.135.63,,,,
acidtools.com,Privacy service provided by WITHHELD FOR PRIVACY LLC,NAMECHEAP INC,1985-01-01,104.21.59.11,,,,
affonso.io,Privacy service provided by Withheld for Privacy ehf,"NameCheap, Inc.",1997-09-16,216.150.16.1,9eab923ae931670d20654f86c220031c20526041765ff80939f526ae64d5a953,,,
aiagentstore.ai,"Domains By Proxy, LLC","GoDaddy.com, LLC",1995-02-16,172.67.212.15,,MB Skydis,,
aidir.wiki,Privacy service provided by Withheld for Privacy ehf,"NameCheap, Inc.",2014-02-06,2.59.170.20,,AIDir,,
aimarketing.directory,,,2013-11-13,52.223.52.2,,,G-68BQBNYS11,
aiparabellum.com,,,1985-01-01,172.67.68.83,,,G-PTNSLM24DH,
aitechviral.com,Privacy service provided by WITHHELD FOR PRIVACY LLC,NAMECHEAP INC,1985-01-01,172.67.174.39,,,,
aitools.fyi,,,2015-05-14,172.67.137.94,c726dddd5f950ae8641ecb7aa309a843f0e07b71eb942e4b80ee7ef9ea43829e,,,
aitools.inc,Privacy service provided by Withheld for Privacy ehf,"NameCheap, Inc.",2018-07-03,172.67.68.177,a8dc8823a677d2dec7b6d3836b97b5544ee7a8c748d4d1613a2e543353acd6cf,,,
aitooltrek.com,Registrant Street: DATA REDACTED,"Cloudflare, Inc.",1985-01-01,104.21.52.14,ff5f655c3f057ca315522fca8fda226522aa3677e71974b0c6a364b9d935fbe2,,G-03BV3YQ71R,
aiwith.me,Registrant Street: REDACTED,"Cloudflare, Inc",2007-09-24,104.21.40.53,2f27089a8fd561d4f096bd62994d99872e3937c4d8be3ccc2a4fda1e0c5ace9a,Copyright 2024,G-8MZMR9TPQK,
aixploria.com,,,,172.67.70.54,87a27dc1f0170d18d3316dea2a91085eef00ef7aa27eb3771c1fa8b976b2f480,AIxploria,G-FQ6DJYP4K1,
alternativeto.net,Registrant of alternativeto.net,1API GmbH,1985-01-01,172.66.43.172,63d459899bd7595ded2fad8f44d96576b849bebabb8e0177643b81d9baffdd68,,GTM-N56PL75,
auraplusplus.com,,,,216.150.16.1,3eb96cff061232b04e47e355226cb7e4e95c7a5ec3ecd5888416d44bee0e783b,,G-R4TPTBDLCJ,
betalist.com,DATA REDACTED,"Cloudflare, Inc.",1985-01-01,104.26.4.46,,,GTM-KDTKCJPW,
devhunt.org,,"Cloudflare, Inc.",1985-01-01,76.76.21.21,04882058d132ea9f94394e642efffcef6b0f687bbb4afcde45d594a6b472c46f,,,
earlyhunt.com,Whois Privacy Protection Foundation,Hosting Concepts B.V. d/b/a Registrar.eu,1985-01-01,216.150.16.193,858c2aa2db09b7dd35fc04bc1ad319758f6c362bd4cef166bcd3f54b68dc8022,EarlyHunt,G-SM8JRQKNVH,
f6s.com,"Domains By Proxy, LLC","GoDaddy.com, LLC",1985-01-01,18.239.183.117,d3ee76bc518a11aa6d05842b234ad358377df32dad05266e477f907de2923d1c,,,
fazier.com,,,1985-01-01,104.21.82.29,40e03f95424c71d2d5a0421a1fd015a65f50c4438fa39e9b55f3b0195df40f59,,G-2CK48EFTLD,
firsto.co,,"Spaceship, Inc.",1991-12-24,104.21.31.143,bfd419703336e0e0435599b396313bc65fe80ad546b4d672a5ab3b0b792c5aeb,Firsto,,
foundrlist.com,"Domains By Proxy, LLC","GoDaddy.com, LLC",1985-01-01,216.150.1.1,4d90a3d9f349d1f06db1d78721718718f9031de0ea55940790a597913fb39214,,,
huntscreens.com,Registrant Street: DATA REDACTED,"Cloudflare, Inc.",1985-01-01,104.21.37.163,6889148a4a5809661b62a672314d4e183f5949151d35017d642c2bff08e6f599,,,
indiehackers.com,"Domains By Proxy, LLC","GoDaddy.com, LLC",1985-01-01,104.26.13.75,cc89b5788366a83e437bd2ad500f2e6c856c2821023486d2fb76e46b3665eddf,Indie Hackers,G-W1TFN9RN75;UA-81418423-2,
indiehunt.io,"Domain Protection Services, Inc.","Name.com, Inc.",1997-09-16,216.150.16.193,57a1bbd1bd01a2914b4329755f855b7686638981d9deacccb948bd76f74afff2,IndieHunt,G-N8H02J9N9H,
launchdirectories.com,REDACTED FOR PRIVACY,"ENOM, INC.",1985-01-01,172.67.131.221,b2e0d4eca6123c818cb67d747c64f75aa54cf9b85da8bfb3122e723aae5a0e72,LaunchDirectories Privacy Terms Sitemap LLMs,,
launchigniter.com,,,1985-01-01,104.21.41.53,addf2dc3283f67506b7c3d5e2ccab9cede2adb32adabd2926e24b771183d8c20,LaunchIgniter,G-6N2CY139B1,
launchingnext.com,DATA REDACTED,"Cloudflare, Inc.",1985-01-01,104.21.2.13,,,G-881Z2PJ2C4,
launchllama.co,,Tucows Domains Inc.,1991-12-24,104.16.243.55,,Launch Llama,GTM-TWRC6Z3Q,pk_live_51IekcQKHPFAlBzyyGNBguT5BEI7NEBqrTxJhsYN1FI1lQb9iWxU5U2OXfi744NEMx5p7EDXh08YXrudrZkkG9bGc00ZCrkXrxL
launchpanda.dev,,,2014-11-20,216.150.1.1,83583d9f936ff8f6934730885235e3745f74c95e59a516403075424231f5efef,LaunchPanda,,
listingbott.com,DATA REDACTED,"Cloudflare, Inc.",1985-01-01,172.66.44.111,,ListingBott,G-RRJHKD78S6;GTM-5L94Q687,
listmy.site,SS ENTERPRISES,Gandi SAS,2015-03-06,216.198.79.1,,Built for indie founders and SaaS builders,G-8ZQ2NVJMXV,
makerhunt.io,,,,216.150.1.1,ee1682ac3f72146e57bf8801e6b04eadceb51b59bdd169bd9ee79a2ed6e88557,MakerHunt,,
microlaunch.net,,,1985-01-01,104.26.11.14,001c3df59e1f7eb74917534c975940ebfdcfa99dcac73878ecadfb226bd715d3,,,
openalternative.co,,"Spaceship, Inc.",1991-12-24,172.67.216.5,2ced3a7481dc9735cfd6b20945459d532bfe700421b550809e48f3f09b2dc7d6,,,
outbid.lol,,"NameCheap, Inc.",2015-04-23,216.150.1.193,,,,
peerlist.io,"Domains By Proxy, LLC","GoDaddy.com, LLC",1997-09-16,104.26.0.190,b97724ab78f057a31fc2de817ea60aab760ecb9e2059328ea66746cb5c824b9e,Peerlist Inc,UA-163491517-1,
peerpush.com,"Domains By Proxy, LLC","GoDaddy.com, LLC",1985-01-01,172.67.173.146,57f4b433ff23a04602dcff7f7bf40f19384ab035b321c962165838efacccfc16,,,
peerpush.net,DATA REDACTED,"Cloudflare, Inc.",1985-01-01,172.67.139.179,57f4b433ff23a04602dcff7f7bf40f19384ab035b321c962165838efacccfc16,,,
pitchwall.co,,"NameCheap, Inc.",1991-12-24,104.21.42.198,0104c90fb7683f7a5e9f617573231d790c25d78c5e5bc54dfd11314cabaabf36,,,
postingdude.com,Whois Privacy Protection Foundation,Hosting Concepts B.V. d/b/a Registrar.eu,1985-01-01,216.150.16.193,7be9d7f18c2a92e6d84698676858d4116e5cbfa3d31fecaf9302085dbe6210d8,Posting Dude,,
producthunt.com,"Domains By Proxy, LLC","GoDaddy.com, LLC",1985-01-01,104.18.127.118,d5879e90c3ac1b0b3ce180c63b30ed24927e21e10b300ffeda78bd7c74454be5,,,
saasgrow.app,,,2015-06-25,104.21.81.78,788fbc9b703ce9a669ba9ec271c90f9d9505276e6b5bb88215ce765e8f40f131,SaaSGrow,G-T6C3WXLVMD,
saashub.com,,,1985-01-01,104.26.2.171,,,G-NYMJ06T9B8,
scrolllaunch.com,,,1985-01-01,216.150.1.1,357dd3f1bda845b53eda03cb71d9640f0bc3741de43840d096539e26ce03361f,ScrollLaunch,G-3WE3LRWWH3,
sidehunt.io,,,,216.150.16.129,a409d30adad24b2a98b8c1a6412045c3013e6a7e053e1c1ae79e3c3457023871,Sidehunt,,
sideprojectors.com,,,,104.21.85.92,,,G-LYF1JCFY26,
softwareworld.co,"Domains By Proxy, LLC","GoDaddy.com, LLC",1991-12-24,172.67.68.67,,,,
startupa.ge,,,1992-12-02,216.150.1.1,9a28290010a93a587155886ecab7ec6c054ad408ddda16bf5b404d36d515f5b1,,,
startupbase.io,Registrant Street: REDACTED,Dynadot Inc,1997-09-16,104.21.40.101,,,G-PFVLSPPFCH,
startups.fyi,,,2015-05-14,198.202.211.1,,,G-85VPXB1ZP6;G-BEK92T2L44;GTM-P74HGJG,
startupsubmit.app,,,2015-06-25,92.112.198.41,,,G-9Q6H0QETRF;UA-26575989-46,
startuptrusted.com,,,1985-01-01,194.163.137.195,2b8ad2d33455a8f736fc3a8ebf8f0bdea8848ad4c0db48a2833bd0f9cd775932,StartupTrusted,G-4N87EGLCX5,
submitsaas.com,,,1985-01-01,104.21.38.103,,SubmitSaaS,,
theresanaiforthat.com,DATA REDACTED,"Cloudflare, Inc.",1985-01-01,172.66.153.197,04c62d330b779a8a23e9f94736b4533c39b7d085fd2259dc1cfa7f1309ebd74a,,,
tinylaunch.com,,,,216.150.1.1,556a3cb58ad3b0b33a443b14a18e1f4c16efa3390fefcdbad17cfbc274bf885a,TinyLaunch,,
toolfolio.io,"Domains By Proxy, LLC","GoDaddy.com, LLC",1997-09-16,216.150.1.1,45865abc136ad44e9257123f7d40f4d87f2c5ca40695f6c4770445bc27864413,,,pk_live_Y2xlcmsudG9vbGZvbGlvLmNvbSQ
trustmrr.com,,,1985-01-01,216.150.1.1,c0039f74d2854ecd84b75e9abb2f2c5b90fe4738e31f3751ecb498b98820e0eb,,,
uneed.best,REDACTED FOR PRIVACY,OVH sas,2014-02-20,172.67.171.91,26169816223822e8856d979834643dff2611d6443e46c21ce3d4312a9fe30abb,,,
uno.directory,,,2013-11-13,216.150.16.1,2f5aa09402de2afd129a6d9288e1af2514c46b376f542cf4f59e9add94d1b26f,Uno Directory,G-XXXXXXXXX,
