state,law_category,effective_date,postings,disclosed,pct_disclosing,ci95_pp,law_took_effect_mid_window
Washington,posting,2023-01-01,6208,2915,47.0,1.2,false
New York,posting,2023-09-17,16140,7520,46.6,0.8,false
California,posting,2023-01-01,41746,18749,44.9,0.5,false
Massachusetts,posting,2025-10-29,5430,2338,43.1,1.3,false
Colorado,posting,2021-01-01,2626,1012,38.5,1.9,false
Maryland,posting,2024-10-01,3332,1262,37.9,1.6,false
District of Columbia,posting,2024-06-30,2915,1062,36.4,1.7,false
Illinois,posting,2025-01-01,3119,1089,34.9,1.7,false
Nevada,request,2021-10-01,433,131,30.3,4.3,false
Alabama,none,,534,144,27.0,3.8,false
Virginia,posting,2026-07-01,3636,967,26.6,1.4,true
Minnesota,posting,2025-01-01,1439,353,24.5,2.2,false
New Jersey,posting,2025-06-01,1962,465,23.7,1.9,false
Connecticut,request,2021-10-01,602,118,19.6,3.2,false
Georgia,none,,2745,523,19.1,1.5,false
Ohio,none,,1784,341,19.1,1.8,false
Pennsylvania,none,,1687,313,18.6,1.9,false
Missouri,none,,697,128,18.4,2.9,false
North Carolina,none,,2461,446,18.1,1.5,false
Utah,none,,1131,199,17.6,2.2,false
New Hampshire,none,,368,64,17.4,3.9,false
Texas,none,,6761,1055,15.6,0.9,false
Michigan,none,,1466,208,14.2,1.8,false
Nebraska,none,,225,31,13.8,4.5,false
Rhode Island,request,2023-01-01,208,28,13.5,4.6,false
Wisconsin,none,,565,74,13.1,2.8,false
Florida,none,,2533,330,13.0,1.3,false
Arizona,none,,1367,178,13.0,1.8,false
Tennessee,none,,573,72,12.6,2.7,false
Maine,posting,2026-07-28,392,47,12.0,3.2,true
Oklahoma,none,,261,30,11.5,3.9,false
Iowa,none,,312,34,10.9,3.5,false
South Carolina,none,,650,70,10.8,2.4,false
Louisiana,none,,212,23,10.8,4.2,false
Arkansas,none,,326,35,10.7,3.4,false
Indiana,none,,900,93,10.3,2.0,false
Oregon,none,,268,25,9.3,3.5,false
Kansas,none,,692,37,5.3,1.7,false
