label,domain,llm_likelihood,signal_type
mainstream_2026,bubbles.town,3,substance
human_pre2022,aguidetocloud.com,92,substance
human_pre2022,javascriptjabber.com,18,substance
slop_2026,powerlabs.cloud,97,substance
mainstream_2026,ijarcst.org,93,substance
human_pre2022,hiddentao.com,2,substance
slop_2026,registrer.cloud,97,substance
human_pre2022,docs.dapr.io,10,substance
human_pre2022,sciml.ai,8,substance
slop_2026,scraper.page,95,substance
slop_2026,messages.solutions,96,substance
slop_2026,qbit365.com,97,substance
slop_2026,smartsocket.shop,97,substance
slop_2026,deployed.cloud,97,substance
slop_2026,webscraper.uk,96,substance
slop_2026,queries.cloud,97,substance
human_pre2022,safeteamproject.eu,30,substance
human_pre2022,polypane.app,3,substance
mainstream_2026,lumindigital.com,45,substance
mainstream_2026,specterops.io,80,substance
mainstream_2026,eprints.bournemouth.ac.uk,12,structure
mainstream_2026,aicoding.leaflet.pub,72,substance
mainstream_2026,openclawchronicles.com,72,structure
slop_2026,typescript.page,97,substance
human_pre2022,plainenglish.io,5,vocabulary
human_pre2022,reggys.tumblr.com,2,substance
mainstream_2026,search.jobs.barclays,10,substance
mainstream_2026,finbold.com,35,substance
slop_2026,balances.cloud,95,substance
slop_2026,typescript.page,97,substance
slop_2026,tecksite.com,97,substance
mainstream_2026,theplanettools.ai,88,structure
mainstream_2026,gradientgroup.com,72,structure
slop_2026,analyses.info,96,substance
mainstream_2026,moorinsightsstrategy.com,38,substance
mainstream_2026,pytutorial.com,93,substance
human_pre2022,usefulchem.blogspot.com,3,substance
slop_2026,javascripts.store,95,substance
slop_2026,mongoose.cloud,97,substance
human_pre2022,qubole.com,4,substance
slop_2026,webdev.cloud,97,substance
mainstream_2026,databricks.com,72,substance
slop_2026,digitalhouse.cloud,97,substance
mainstream_2026,aireporter.news,95,substance
slop_2026,diagrams.site,95,substance
slop_2026,webs.direct,95,substance
slop_2026,digitalhouse.cloud,95,substance
mainstream_2026,nofluffjobs.com,25,substance
human_pre2022,coder.show,3,substance
slop_2026,next-gen.cloud,97,substance
mainstream_2026,cionews.co.in,93,substance
slop_2026,binaries.live,97,substance
human_pre2022,sentia.com.au,18,substance
slop_2026,midways.cloud,97,substance
human_pre2022,yogthos.net,4,substance
slop_2026,codeacademy.site,95,substance
slop_2026,typescript.page,97,substance
slop_2026,qbitshare.com,97,substance
human_pre2022,datavault-builder.com,72,structure
mainstream_2026,dyadicmind.substack.com,40,substance
slop_2026,reacts.dev,97,substance
mainstream_2026,tahawultech.com,60,substance
slop_2026,analyses.info,97,substance
mainstream_2026,jobs.paloaltonetworks.com,35,structure
mainstream_2026,jobs.boeing.com,25,structure
human_pre2022,alexdebrie.com,4,substance
slop_2026,webhosts.top,97,substance
mainstream_2026,insights.marvin-42.com,88,structure
slop_2026,datacentres.online,97,substance
human_pre2022,martinmueller.dev,2,vocabulary
human_pre2022,danielleheberling.xyz,6,substance
human_pre2022,aguidetocloud.com,93,structure
human_pre2022,changelog.com,3,substance
mainstream_2026,cdotrends.com,78,structure
mainstream_2026,purplesquarecx.com,60,structure
mainstream_2026,theneuron.ai,30,substance
mainstream_2026,cephalosec.com,18,substance
slop_2026,thecoding.club,95,substance
human_pre2022,longhorn.io,3,substance
mainstream_2026,nexusitc.net,55,substance
slop_2026,typescript.website,97,substance
mainstream_2026,zynap.com,65,structure
mainstream_2026,cyberwebspider.com,91,structure
human_pre2022,erogol.com,3,substance
mainstream_2026,tech.therundown.ai,72,structure
human_pre2022,breezometer.com,8,substance
slop_2026,warehouses.solutions,97,substance
human_pre2022,jamesm.blog,72,substance
human_pre2022,readrust.net,3,substance
slop_2026,membersimple.com,96,substance
mainstream_2026,hitconsultant.net,93,structure
human_pre2022,blog.marcolancini.it,5,vocabulary
slop_2026,supports.live,96,substance
human_pre2022,bristolroboticslab.com,6,substance
human_pre2022,datascience.smu.edu,15,substance
mainstream_2026,search.jobs.barclays,45,structure
human_pre2022,cagedata.com,3,substance
human_pre2022,whatsthebigdata.com,6,substance
human_pre2022,spmb.com,3,substance
human_pre2022,resources.rstudio.com,3,substance
human_pre2022,helium10.com,15,substance
human_pre2022,jvandemo.com,13,substance
human_pre2022,catonetworks.com,25,substance
human_pre2022,yazeedb.com,4,substance
human_pre2022,betakit.com,6,substance
slop_2026,wecloud.pro,97,substance
human_pre2022,boneskull.com,3,substance
mainstream_2026,uctoday.com,25,substance
mainstream_2026,explore.n1n.ai,95,substance
human_pre2022,eduardoboucas.com,5,substance
mainstream_2026,ai.miraheze.org,88,substance
human_pre2022,perttu.dev,3,substance
slop_2026,workflowapp.cloud,97,substance
mainstream_2026,securityonline.info,95,structure
slop_2026,typescript.website,97,substance
mainstream_2026,qde.com,76,structure
human_pre2022,code-maven.com,3,substance
human_pre2022,davidbader.net,5,substance
mainstream_2026,sitehost.cloud,96,substance
slop_2026,newdata.cloud,97,substance
human_pre2022,andykong.org,3,substance
human_pre2022,databio.org,25,substance
mainstream_2026,techfinitive.com,12,substance
human_pre2022,theamphour.com,3,substance
slop_2026,anyconnect.uk,97,substance
slop_2026,theplanet.cloud,95,substance
human_pre2022,amytabb.com,4,substance
slop_2026,thecoding.club,97,substance
mainstream_2026,karlosmid.com,45,substance
slop_2026,appstudio.cloud,97,substance
human_pre2022,iojs.org,3,substance
mainstream_2026,onescales.com,88,structure
human_pre2022,maltego.com,20,substance
mainstream_2026,syntasso.io,85,substance
human_pre2022,alwaystwisted.com,3,substance
human_pre2022,daveabrock.com,3,substance
human_pre2022,packetlabs.net,25,substance
slop_2026,untied.dev,97,substance
mainstream_2026,vijilan.com,93,substance
mainstream_2026,techlila.com,92,structure
human_pre2022,nicfab.eu,16,substance
slop_2026,envelop.cloud,95,substance
mainstream_2026,vascularnews.com,13,substance
slop_2026,typescript.website,97,substance
slop_2026,modest.cloud,95,substance
slop_2026,numberone.cloud,96,substance
human_pre2022,akash.network,25,substance
mainstream_2026,stork.ai,96,structure
slop_2026,recipient.cloud,97,substance
human_pre2022,syntax.fm,2,substance
human_pre2022,syntax.fm,2,substance
human_pre2022,dataengineering.academy,12,substance
slop_2026,smartqbit.uk,97,substance
mainstream_2026,rodtrent.substack.com,88,structure
mainstream_2026,hakkoda.io,75,structure
human_pre2022,noahread.net,4,substance
human_pre2022,rationality.org,3,substance
human_pre2022,saasclub.io,72,structure
mainstream_2026,resilienceforward.com,68,structure
human_pre2022,blog.codemagic.io,25,substance
mainstream_2026,itwire.com,82,substance
mainstream_2026,quantumzeitgeist.com,93,structure
human_pre2022,blog.fosketts.net,3,substance
slop_2026,simplyfile.cloud,97,substance
slop_2026,aicode.cloud,95,structure
mainstream_2026,cybastiontech.com,72,substance
mainstream_2026,thedroptimes.com,72,structure
mainstream_2026,militaryai.ai,72,substance
slop_2026,next-gen.cloud,97,substance
mainstream_2026,cio.com,10,substance
mainstream_2026,greenabstracts.substack.com,22,substance
slop_2026,proweb.cloud,95,substance
mainstream_2026,jobs.paloaltonetworks.com,15,substance
slop_2026,supports.live,97,substance
human_pre2022,blog.fsck.com,2,substance
human_pre2022,adventuresinoss.com,2,substance
slop_2026,specialdir.com,95,substance
mainstream_2026,pytutorial.com,92,structure
mainstream_2026,webpronews.com,88,substance
slop_2026,techsifted.com,83,structure
mainstream_2026,digitalcommons.harrisburgu.edu,68,structure
human_pre2022,packetlabs.net,32,substance
human_pre2022,docs.opsramp.com,55,structure
mainstream_2026,servermo.com,94,substance
slop_2026,typescript.website,97,substance
human_pre2022,industrialsage.com,4,substance
slop_2026,compatible.top,97,substance
slop_2026,uploadfile.pro,95,substance
human_pre2022,srodrigoroyo.com,25,none
mainstream_2026,jobs.paloaltonetworks.com,55,structure
slop_2026,automations.pro,97,substance
slop_2026,computertech.cloud,96,substance
human_pre2022,www.dominodatalab.com,22,substance
mainstream_2026,theagentwatch.com,93,structure
human_pre2022,datadoghq.com,15,substance
slop_2026,envelop.cloud,96,substance
human_pre2022,changelog.com,3,substance
slop_2026,mongoose.cloud,96,substance
human_pre2022,inflectra.com,8,substance
human_pre2022,reckoning.dev,6,substance
human_pre2022,benmanns.com,3,substance
slop_2026,mytest.cloud,96,substance
slop_2026,thehost.cloud,97,substance
human_pre2022,ruby.com,15,substance
mainstream_2026,technologydecisions.com.au,25,substance
slop_2026,devtools.cloud,95,substance
mainstream_2026,aichatdaily.com,72,structure
human_pre2022,catonetworks.com,8,substance
human_pre2022,developereconomics.net,6,substance
human_pre2022,benovermyer.com,35,structure
slop_2026,storages.cloud,97,substance
mainstream_2026,cybersecurityreadinesspodcast.com,76,vocabulary
slop_2026,codenscripts.com,97,substance
mainstream_2026,rcrtech.com,30,substance
human_pre2022,cjyabraham.gitlab.io,15,substance
slop_2026,scrapes.us,97,substance
human_pre2022,maecapozzi.com,35,structure
slop_2026,florence.cloud,97,substance
mainstream_2026,aiforlifelonglearners.substack.com,68,structure
human_pre2022,sitr.us,2,substance
mainstream_2026,subagentic.ai,98,structure
human_pre2022,dronecode.org,4,substance
human_pre2022,blog.safia.rocks,35,substance
human_pre2022,longhorn.io,10,substance
slop_2026,typescript.page,95,structure
mainstream_2026,pytutorial.com,93,structure
mainstream_2026,siliconangle.com,20,substance
slop_2026,thehost.cloud,97,substance
slop_2026,codenscripts.com,97,substance
slop_2026,host-server.cloud,96,substance
mainstream_2026,cover6solutions.com,92,structure
slop_2026,sendfile.online,95,substance
human_pre2022,longhorn.io,4,substance
human_pre2022,blog.jerrycodes.com,12,substance
mainstream_2026,muratbuffalo.blogspot.com,18,substance
human_pre2022,timkadlec.com,4,substance
mainstream_2026,imbrace.co,95,substance
slop_2026,smart365.website,95,substance
human_pre2022,resources.rstudio.com,4,substance
mainstream_2026,masonailab.com,88,structure
mainstream_2026,board-cybersecurity.com,15,substance
human_pre2022,blog.boot.dev,18,substance
slop_2026,chatjot.com,96,substance
mainstream_2026,academicjobsonline.org,18,substance
slop_2026,promptly.cloud,97,substance
slop_2026,data-analysis.cloud,96,substance
mainstream_2026,digitalinformationworld.com,22,substance
slop_2026,deploy.website,97,substance
human_pre2022,adventuresinoss.com,2,substance
human_pre2022,fettblog.eu,8,substance
human_pre2022,omsf.io,78,substance
mainstream_2026,swipe.cloud,98,substance
slop_2026,reacts.dev,95,substance
mainstream_2026,thedeepview.com,25,substance
mainstream_2026,aibusiness.com,72,structure
mainstream_2026,techeblog.com,88,structure
human_pre2022,cloudbytes.dev,15,substance
