family,n,med,lo,hi,n_emp,top_pct,rank
research scientist,265,215000.0,200000.0,222000.0,85,18.867924528301888,1
ml engineer,529,208575.0,205000.0,213281.25000000012,229,11.153119092627598,2
product engineer,68,200000.0,192500.0,208750.0,47,5.88235294117647,3
ai engineer,164,197500.0,192825.0,205500.0,109,6.097560975609756,4
backend engineer,383,195500.0,191500.0,199998.0,194,8.355091383812011,5
frontend engineer,180,195250.0,190000.0,200000.0,121,10.0,6
software engineer,5855,193000.0,192500.0,194250.0,1498,7.532023911187019,7
infrastructure engineer,121,192500.0,182500.0,200000.0,86,7.43801652892562,8
security engineer,422,189000.0,180000.0,190000.0,207,7.819905213270142,9
product manager,458,185000.0,182631.25,190000.0,262,3.2751091703056767,10
platform engineer,145,183000.0,177773.5,195461.0,103,4.827586206896552,11
site reliability engineer,319,183000.0,177500.0,190000.0,145,10.344827586206897,12
full stack engineer,595,180000.0,175000.0,185000.0,334,3.1932773109243695,13
product designer,458,179425.0,175000.0,184000.0,275,3.056768558951965,14
data scientist,666,174654.0,166680.0,178462.5,352,3.153153153153153,15
embedded software engineer,279,173500.0,170000.0,180000.0,94,17.921146953405017,16
devsecops engineer,62,170675.0,160000.0,180000.0,33,20.967741935483872,17
devops engineer,224,170000.0,165000.0,172500.0,129,4.464285714285714,18
program manager,73,170000.0,162000.0,179450.0,43,12.32876712328767,19
cloud engineer,66,168925.0,160000.0,174500.0,39,7.575757575757576,20
data engineer,435,165850.0,162500.0,170000.0,278,3.218390804597701,21
analytics engineer,88,165250.0,154500.0,180000.0,62,6.8181818181818175,22
systems engineer,725,153500.0,147500.0,160000.0,235,13.379310344827585,23
software engineer in test,79,150000.0,136000.0,164600.0,47,8.860759493670885,24
test engineer,104,138525.0,133300.0,148165.5,66,5.769230769230769,25
data analyst,187,129500.0,123000.0,140000.0,116,5.347593582887701,26
business analyst,132,120000.0,120000.0,125000.0,82,9.090909090909092,27
it specialist,191,119626.5,116582.5,124222.5,72,10.99476439790576,28
